Index,C,Score,gamma
228,39.7979797979798,0.8456666666666667,0.29000000000000004
229,39.7979797979798,0.8536666666666667,0.3
230,39.7979797979798,0.8536666666666667,0.31
231,39.7979797979798,0.8536666666666667,0.32
232,39.7979797979798,0.8536666666666667,0.33
233,39.7979797979798,0.8536666666666667,0.34
234,39.7979797979798,0.8536666666666667,0.35000000000000003
235,39.7979797979798,0.8453333333333333,0.36000000000000004
236,39.7979797979798,0.8453333333333333,0.37
237,39.7979797979798,0.8373333333333333,0.38
238,39.7979797979798,0.8456666666666667,0.39
239,39.7979797979798,0.8456666666666667,0.4
240,39.7979797979798,0.8453333333333333,0.41000000000000003
241,39.7979797979798,0.8453333333333333,0.42000000000000004
242,39.7979797979798,0.8453333333333333,0.43
243,39.7979797979798,0.8453333333333333,0.44
244,39.7979797979798,0.8370000000000001,0.45
245,39.7979797979798,0.8370000000000001,0.46
246,39.7979797979798,0.8370000000000001,0.47000000000000003
247,39.7979797979798,0.8370000000000001,0.48000000000000004
248,39.7979797979798,0.8370000000000001,0.49
249,39.7979797979798,0.8370000000000001,0.5
250,39.7979797979798,0.829,0.51
251,39.7979797979798,0.829,0.52
252,39.7979797979798,0.829,0.53
253,39.7979797979798,0.829,0.54
254,39.7979797979798,0.8370000000000001,0.55
255,39.7979797979798,0.8370000000000001,0.56
256,39.7979797979798,0.8370000000000001,0.5700000000000001
257,39.7979797979798,0.8370000000000001,0.5800000000000001
258,39.7979797979798,0.8370000000000001,0.59
259,39.7979797979798,0.8370000000000001,0.6
260,39.7979797979798,0.8370000000000001,0.61
261,39.7979797979798,0.8370000000000001,0.62
262,39.7979797979798,0.8370000000000001,0.63
263,39.7979797979798,0.845,0.64
264,39.7979797979798,0.845,0.65
265,39.7979797979798,0.845,0.66
266,39.7979797979798,0.845,0.67
267,39.7979797979798,0.845,0.68
268,39.7979797979798,0.845,0.6900000000000001
269,39.7979797979798,0.845,0.7000000000000001
270,39.7979797979798,0.845,0.7100000000000001
271,39.7979797979798,0.845,0.72
272,39.7979797979798,0.8533333333333333,0.73
273,39.7979797979798,0.8533333333333333,0.74
274,39.7979797979798,0.8533333333333333,0.75
275,39.7979797979798,0.8533333333333333,0.76
276,39.7979797979798,0.8533333333333333,0.77
277,39.7979797979798,0.8533333333333333,0.78
278,39.7979797979798,0.8533333333333333,0.79
279,39.7979797979798,0.8533333333333333,0.8
280,39.7979797979798,0.8533333333333333,0.81
281,39.7979797979798,0.8533333333333333,0.8200000000000001
282,39.7979797979798,0.8533333333333333,0.8300000000000001
283,39.7979797979798,0.8533333333333333,0.8400000000000001
284,39.7979797979798,0.8533333333333333,0.85
285,39.7979797979798,0.8613333333333333,0.86
286,39.7979797979798,0.8613333333333333,0.87
287,39.7979797979798,0.8613333333333333,0.88
288,39.7979797979798,0.8613333333333333,0.89
289,39.7979797979798,0.8613333333333333,0.9
290,39.7979797979798,0.8613333333333333,0.91
291,39.7979797979798,0.8613333333333333,0.92
292,39.7979797979798,0.8613333333333333,0.93
293,39.7979797979798,0.8613333333333333,0.9400000000000001
294,39.7979797979798,0.8613333333333333,0.9500000000000001
295,39.7979797979798,0.8613333333333333,0.9600000000000001
296,39.7979797979798,0.8613333333333333,0.97
297,39.7979797979798,0.8613333333333333,0.98
298,39.7979797979798,0.853,0.99
299,39.7979797979798,0.853,1.0
300,49.6969696969697,0.8053333333333332,0.01
301,49.6969696969697,0.8456666666666667,0.02
302,49.6969696969697,0.8373333333333333,0.03
303,49.6969696969697,0.8296666666666667,0.04
304,49.6969696969697,0.8370000000000001,0.05
305,49.6969696969697,0.8119999999999999,0.060000000000000005
306,49.6969696969697,0.8039999999999999,0.06999999999999999
307,49.6969696969697,0.8206666666666667,0.08
308,49.6969696969697,0.8533333333333333,0.09
309,49.6969696969697,0.8780000000000001,0.09999999999999999
310,49.6969696969697,0.8780000000000001,0.11
311,49.6969696969697,0.8703333333333333,0.12
312,49.6969696969697,0.8699999999999999,0.13
313,49.6969696969697,0.8699999999999999,0.14
314,49.6969696969697,0.8620000000000001,0.15000000000000002
315,49.6969696969697,0.8620000000000001,0.16
316,49.6969696969697,0.8540000000000001,0.17
317,49.6969696969697,0.8540000000000001,0.18000000000000002
318,49.6969696969697,0.8460000000000001,0.19
319,49.6969696969697,0.8376666666666667,0.2
320,49.6969696969697,0.8376666666666667,0.21000000000000002
321,49.6969696969697,0.8376666666666667,0.22
322,49.6969696969697,0.8293333333333333,0.23
323,49.6969696969697,0.8376666666666667,0.24000000000000002
324,49.6969696969697,0.8456666666666667,0.25
325,49.6969696969697,0.8456666666666667,0.26
326,49.6969696969697,0.8456666666666667,0.27
327,49.6969696969697,0.8456666666666667,0.28
328,49.6969696969697,0.8456666666666667,0.29000000000000004
329,49.6969696969697,0.8536666666666667,0.3
330,49.6969696969697,0.8536666666666667,0.31
331,49.6969696969697,0.8536666666666667,0.32
332,49.6969696969697,0.8536666666666667,0.33
333,49.6969696969697,0.8536666666666667,0.34
334,49.6969696969697,0.8536666666666667,0.35000000000000003
335,49.6969696969697,0.8453333333333333,0.36000000000000004
336,49.6969696969697,0.8453333333333333,0.37
337,49.6969696969697,0.8373333333333333,0.38
338,49.6969696969697,0.8456666666666667,0.39
339,49.6969696969697,0.8456666666666667,0.4
340,49.6969696969697,0.8453333333333333,0.41000000000000003
341,49.6969696969697,0.8453333333333333,0.42000000000000004
342,49.6969696969697,0.8453333333333333,0.43
343,49.6969696969697,0.8453333333333333,0.44
344,49.6969696969697,0.8370000000000001,0.45
345,49.6969696969697,0.8370000000000001,0.46
346,49.6969696969697,0.8370000000000001,0.47000000000000003
347,49.6969696969697,0.8370000000000001,0.48000000000000004
348,49.6969696969697,0.8370000000000001,0.49
349,49.6969696969697,0.8370000000000001,0.5
350,49.6969696969697,0.829,0.51
351,49.6969696969697,0.829,0.52
352,49.6969696969697,0.829,0.53
353,49.6969696969697,0.829,0.54
354,49.6969696969697,0.8370000000000001,0.55
355,49.6969696969697,0.8370000000000001,0.56
356,49.6969696969697,0.8370000000000001,0.5700000000000001
357,49.6969696969697,0.8370000000000001,0.5800000000000001
358,49.6969696969697,0.8370000000000001,0.59
359,49.6969696969697,0.8370000000000001,0.6
360,49.6969696969697,0.8370000000000001,0.61
361,49.6969696969697,0.8370000000000001,0.62
362,49.6969696969697,0.8370000000000001,0.63
363,49.6969696969697,0.845,0.64
364,49.6969696969697,0.845,0.65
365,49.6969696969697,0.845,0.66
366,49.6969696969697,0.845,0.67
367,49.6969696969697,0.845,0.68
368,49.6969696969697,0.845,0.6900000000000001
369,49.6969696969697,0.845,0.7000000000000001
370,49.6969696969697,0.845,0.7100000000000001
371,49.6969696969697,0.845,0.72
372,49.6969696969697,0.8533333333333333,0.73
373,49.6969696969697,0.8533333333333333,0.74
374,49.6969696969697,0.8533333333333333,0.75
375,49.6969696969697,0.8533333333333333,0.76
376,49.6969696969697,0.8533333333333333,0.77
377,49.6969696969697,0.8533333333333333,0.78
378,49.6969696969697,0.8533333333333333,0.79
379,49.6969696969697,0.8533333333333333,0.8
380,49.6969696969697,0.8533333333333333,0.81
