Index,Score,Std Dev,activation,batch_size,decay_rate,epochs,loss_function,lr,mom
75,,0,0,0,0.00024324650939779561,0,0,0.022521068521139866,0.9811022101343302
76,,0,0,0,0.000259781258734079,0,0,0.025686019162797454,0.5440620389915314
77,,0,0,0,0.0002474230944838487,0,0,0.019601974738284494,0.9617581037568954
78,,0,0,0,0.00024655547616511865,0,0,0.020617405515785524,0.9745468736605887
79,,0,0,0,0.00024431038384224393,0,0,0.027527245083485162,0.9348555291594836
80,,0,0,0,0.000272776540690317,0,0,0.025079706582055522,0.9411879483652364
81,,0,0,0,0.000238737072553949,0,0,0.02509921147030407,0.5240811687427858
82,,0,0,0,0.0002914641587636126,0,0,0.023956393158926635,0.905086384940454
83,,0,0,0,0.0002477280864629479,0,0,0.020045118038335353,0.9549400687287131
84,,0,0,0,0.0002869941885921298,0,0,0.014973805919319726,0.948785412846712
85,,0,0,0,0.00026275050558227517,0,0,0.017648212415003525,0.9715642357263243
86,,0,0,0,0.0002967123626134781,0,0,0.021730469728632195,0.9648893841587488
87,,0,0,0,0.00029758680344453743,0,0,0.02039637541635225,0.9214476647354106
88,,0,0,0,0.00024066537638880875,0,0,0.022825511760415418,0.9458376541989846
89,,0,0,0,0.00026914275253823945,0,0,0.0205120221474229,0.9874366234712628
90,,0,0,0,0.00023659239882757843,0,0,0.026403997673190738,0.9843076825105458
91,,0,0,0,0.0002462036832042217,0,0,0.021214428227652876,0.9609196872323559
92,,0,0,0,0.00024546780517336426,0,0,0.02499234959193627,0.9755755005834105
93,,0,0,0,0.000246952342054234,0,0,0.02101110992875703,0.9617571774317062
94,,0,0,0,0.00028666013804664047,0,0,0.01836998744806003,0.9436346824384946
95,,0,0,0,0.0002295109885794673,0,0,0.020244191983158633,0.9879813898551119
96,,0,0,0,0.0002731507071837555,0,0,0.02283014518961398,0.9860481434835549
97,,0,0,0,0.0003076963112367464,0,0,0.020561137533534998,0.9599328374527258
98,,0,0,0,0.00030384655508111446,0,0,0.024533017029755466,0.9860034049092827
99,,0,0,0,0.00024031701755367285,0,0,0.025098963685885746,0.9664331816624956
